name,brand,size_litres,doors,color,warranty_years,price,reviews,ratings
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)",Vitron VDR,,,Silver,1.0,26670.0,108,4.5
Ramtons RF/222 - 2 Door Fridge - 88 L - Silver Flower (1YR WRTY),Ramtons RF,,2.0,Silver,1.0,21999.0,87,
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,25799.0,20,4.2
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)",Roch RFR,,,Silver,1.0,33099.0,88,4.3
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),Ramtons RF,,2.0,,1.0,48100.0,26,4.5
Hisense 206L Double Door Refrigerator RD-27DR4SA  (2YRs WRTY),Hisense,,,,2.0,41050.0,47,4.4
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)",Smart Pro SFR,,,Silver,1.0,31999.0,6,4.5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,28600.0,11,4.1
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,27699.0,27,4.6
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,Haier HRD,190.0,,Silver,,36895.0,16,4.6
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),Hisense REF,,,Silver,2.0,19500.0,185,4.3
Hisense 154L Double Door Refrigerator RD-20DR4SA  (2YRs WRTY),Hisense,,,,2.0,38999.0,18,4.2
"Smart Pro SFR 175-DT-I Double Door Refrigerator, 138L Silver (1YR WRTY)",Smart Pro SFR,,,Silver,1.0,27299.0,1,
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),Ramtons RF,213.0,2.0,Silver,1.0,46900.0,41,4.8
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver  (2YRs WRTY),Hisense RS,,,Silver,2.0,21239.0,50,4.6
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),Roch RFR,,,,1.0,27699.0,39,4.1
Ramtons RF/174 - 2 Door Direct Cool Fridge - 128 Litres - White (1YR WRTY),Ramtons RF,128.0,2.0,White,1.0,29500.0,58,4.3
Nunix 138L Double Door Fridge Energy Efficient BCD-138,Nunix,,,,,29993.0,5,3.4
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,31599.0,110,4.6
Ramtons RF/319- 430 LITERS SIDE BY SIDE LED NO FROST FRIDGE (1YR WRTY),Ramtons RF,,,,1.0,101000.0,2,3.5
Ramtons RF/265 - 527L Side By Side LED Fridge - Silver (1YR WRTY),Ramtons RF,,,Silver,1.0,149300.0,4,
Hisense REF094DR - 94L Single Door Fridge,Hisense REF,,,,,21699.0,2,
Hisense BLACK 176 Liters FRIDGE Single Door,Hisense BLACK,,,Black,,33800.0,1,
Volsmart 108L Double Door Fridge With A Larger Freezer Capacity (1YR WRTY),Volsmart,,,,1.0,24300.0,4,3.3
VOLSMART  138L Double Door Refrigerator Top Mounted Freezer Reliable Quality 1yr Warranty,VOLSMART,,,,,27995.0,1,
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)",Ramtons RF,,,Silver,1.0,15999.0,66,4.1
Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY),Hisense,,,,2.0,16799.0,87,4.4
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)",Ramtons RF,128.0,2.0,Silver,1.0,28099.0,69,4.2
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),Roch RFR,90.0,,Silver,,16299.0,477,4.2
Nunix 138L Double Door Fridge Energy Efficient (1YR WRTY),Nunix,,,,1.0,27500.0,149,3.9
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),Smart Pro SFR,90.0,,Silver,1.0,15799.0,22,4.4
Ramtons RF/217 - 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),Ramtons RF,213.0,2.0,Silver,1.0,33176.0,22,4.7
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),Roch RFR,,,,1.0,36000.0,106,4.2
"Nunix Fridge Double Door, 210L Energy Efficient BCD-210",Nunix Fridge Double Door,,,,,36850.0,4,
"VON VRT-138DRHX Double Door FRIDGE 136L,INOX, (1YR WRTY)",VON VRT,,,,1.0,29009.0,68,
Nunix 92L Single Door Fridge Energy Efficient BC-92 (1YR WRTY),Nunix,,,,1.0,17850.0,88,4.3
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)",Vitron VDR,,,Silver,1.0,26670.0,108,4.5
Ramtons RF/222 - 2 Door Fridge - 88 L - Silver Flower (1YR WRTY),Ramtons RF,,2.0,Silver,1.0,21999.0,87,
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,25799.0,20,4.2
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)",Roch RFR,,,Silver,1.0,33099.0,88,4.3
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),Ramtons RF,,2.0,,1.0,48100.0,26,4.5
Hisense 206L Double Door Refrigerator RD-27DR4SA  (2YRs WRTY),Hisense,,,,2.0,41050.0,47,4.4
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)",Smart Pro SFR,,,Silver,1.0,31999.0,6,4.5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,28600.0,11,4.1
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,27699.0,27,4.6
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,Haier HRD,190.0,,Silver,,36895.0,16,4.6
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),Hisense REF,,,Silver,2.0,19500.0,185,4.3
Hisense 154L Double Door Refrigerator RD-20DR4SA  (2YRs WRTY),Hisense,,,,2.0,38999.0,18,4.2
"Smart Pro SFR 175-DT-I Double Door Refrigerator, 138L Silver (1YR WRTY)",Smart Pro SFR,,,Silver,1.0,27299.0,1,
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),Ramtons RF,213.0,2.0,Silver,1.0,46900.0,41,4.8
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver  (2YRs WRTY),Hisense RS,,,Silver,2.0,21239.0,50,4.6
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),Roch RFR,,,,1.0,27699.0,39,4.1
Ramtons RF/174 - 2 Door Direct Cool Fridge - 128 Litres - White (1YR WRTY),Ramtons RF,128.0,2.0,White,1.0,29500.0,58,4.3
Nunix 138L Double Door Fridge Energy Efficient BCD-138,Nunix,,,,,29993.0,5,3.4
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,31599.0,110,4.6
Ramtons RF/319- 430 LITERS SIDE BY SIDE LED NO FROST FRIDGE (1YR WRTY),Ramtons RF,,,,1.0,101000.0,2,3.5
Ramtons RF/265 - 527L Side By Side LED Fridge - Silver (1YR WRTY),Ramtons RF,,,Silver,1.0,149300.0,4,
Hisense REF094DR - 94L Single Door Fridge,Hisense REF,,,,,21699.0,2,
Hisense BLACK 176 Liters FRIDGE Single Door,Hisense BLACK,,,Black,,33800.0,1,
Volsmart 108L Double Door Fridge With A Larger Freezer Capacity (1YR WRTY),Volsmart,,,,1.0,24300.0,4,3.3
VOLSMART  138L Double Door Refrigerator Top Mounted Freezer Reliable Quality 1yr Warranty,VOLSMART,,,,,27995.0,1,
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)",Ramtons RF,,,Silver,1.0,15999.0,66,4.1
Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY),Hisense,,,,2.0,16799.0,87,4.4
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)",Ramtons RF,128.0,2.0,Silver,1.0,28099.0,69,4.2
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),Roch RFR,90.0,,Silver,,16299.0,477,4.2
Nunix 138L Double Door Fridge Energy Efficient (1YR WRTY),Nunix,,,,1.0,27500.0,149,3.9
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),Smart Pro SFR,90.0,,Silver,1.0,15799.0,22,4.4
Ramtons RF/217 - 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),Ramtons RF,213.0,2.0,Silver,1.0,33176.0,22,4.7
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),Roch RFR,,,,1.0,36000.0,106,4.2
"Nunix Fridge Double Door, 210L Energy Efficient BCD-210",Nunix Fridge Double Door,,,,,36850.0,4,
"VON VRT-138DRHX Double Door FRIDGE 136L,INOX, (1YR WRTY)",VON VRT,,,,1.0,29009.0,68,
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)",Vitron VDR,,,Silver,1.0,26670.0,108,4.5
Nunix 92L Single Door Fridge Energy Efficient BC-92 (1YR WRTY),Nunix,,,,1.0,17850.0,88,4.3
Ramtons RF/222 - 2 Door Fridge - 88 L - Silver Flower (1YR WRTY),Ramtons RF,,2.0,Silver,1.0,21999.0,87,
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,25799.0,20,4.2
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)",Roch RFR,,,Silver,1.0,33099.0,88,4.3
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),Ramtons RF,,2.0,,1.0,48100.0,26,4.5
Hisense 206L Double Door Refrigerator RD-27DR4SA  (2YRs WRTY),Hisense,,,,2.0,41050.0,47,4.4
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)",Smart Pro SFR,,,Silver,1.0,31999.0,6,4.5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,28600.0,11,4.1
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,27699.0,27,4.6
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,Haier HRD,190.0,,Silver,,36895.0,16,4.6
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),Hisense REF,,,Silver,2.0,19500.0,185,4.3
Hisense 154L Double Door Refrigerator RD-20DR4SA  (2YRs WRTY),Hisense,,,,2.0,38999.0,18,4.2
"Smart Pro SFR 175-DT-I Double Door Refrigerator, 138L Silver (1YR WRTY)",Smart Pro SFR,,,Silver,1.0,27299.0,1,
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver  (2YRs WRTY),Hisense RS,,,Silver,2.0,21239.0,50,4.6
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),Ramtons RF,213.0,2.0,Silver,1.0,46900.0,41,4.8
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),Roch RFR,,,,1.0,27699.0,39,4.1
Ramtons RF/174 - 2 Door Direct Cool Fridge - 128 Litres - White (1YR WRTY),Ramtons RF,128.0,2.0,White,1.0,29500.0,58,4.3
Nunix 138L Double Door Fridge Energy Efficient BCD-138,Nunix,,,,,29993.0,5,3.4
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,31599.0,110,4.6
Ramtons RF/319- 430 LITERS SIDE BY SIDE LED NO FROST FRIDGE (1YR WRTY),Ramtons RF,,,,1.0,101000.0,2,3.5
Ramtons RF/265 - 527L Side By Side LED Fridge - Silver (1YR WRTY),Ramtons RF,,,Silver,1.0,149300.0,4,
Hisense REF094DR - 94L Single Door Fridge,Hisense REF,,,,,21699.0,2,
Hisense BLACK 176 Liters FRIDGE Single Door,Hisense BLACK,,,Black,,33800.0,1,
Volsmart 108L Double Door Fridge With A Larger Freezer Capacity (1YR WRTY),Volsmart,,,,1.0,24300.0,4,3.3
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)",Ramtons RF,,,Silver,1.0,15999.0,66,4.1
Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY),Hisense,,,,2.0,16799.0,87,4.4
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)",Ramtons RF,128.0,2.0,Silver,1.0,28099.0,69,4.2
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),Roch RFR,90.0,,Silver,,16299.0,477,4.2
Nunix 138L Double Door Fridge Energy Efficient (1YR WRTY),Nunix,,,,1.0,27500.0,149,3.9
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),Smart Pro SFR,90.0,,Silver,1.0,15799.0,22,4.4
Ramtons RF/217 - 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),Ramtons RF,213.0,2.0,Silver,1.0,33176.0,22,4.7
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),Roch RFR,,,,1.0,36000.0,106,4.2
"Nunix Fridge Double Door, 210L Energy Efficient BCD-210",Nunix Fridge Double Door,,,,,36850.0,4,
"VON VRT-138DRHX Double Door FRIDGE 136L,INOX, (1YR WRTY)",VON VRT,,,,1.0,29009.0,68,
Nunix 92L Single Door Fridge Energy Efficient BC-92 (1YR WRTY),Nunix,,,,1.0,17850.0,88,4.3
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)",Vitron VDR,,,Silver,1.0,26670.0,108,4.5
Ramtons RF/222 - 2 Door Fridge - 88 L - Silver Flower (1YR WRTY),Ramtons RF,,2.0,Silver,1.0,21999.0,87,
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,25799.0,20,4.2
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)",Roch RFR,,,Silver,1.0,33099.0,88,4.3
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),Ramtons RF,,2.0,,1.0,48100.0,26,4.5
Hisense 206L Double Door Refrigerator RD-27DR4SA  (2YRs WRTY),Hisense,,,,2.0,41050.0,47,4.4
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)",Smart Pro SFR,,,Silver,1.0,31999.0,6,4.5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,28600.0,11,4.1
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,27699.0,27,4.6
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,Haier HRD,190.0,,Silver,,36895.0,16,4.6
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),Hisense REF,,,Silver,2.0,19500.0,185,4.3
Hisense 154L Double Door Refrigerator RD-20DR4SA  (2YRs WRTY),Hisense,,,,2.0,38999.0,18,4.2
"Smart Pro SFR 175-DT-I Double Door Refrigerator, 138L Silver (1YR WRTY)",Smart Pro SFR,,,Silver,1.0,27299.0,1,
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),Ramtons RF,213.0,2.0,Silver,1.0,46900.0,41,4.8
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver  (2YRs WRTY),Hisense RS,,,Silver,2.0,21239.0,50,4.6
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),Roch RFR,,,,1.0,27699.0,39,4.1
Ramtons RF/174 - 2 Door Direct Cool Fridge - 128 Litres - White (1YR WRTY),Ramtons RF,128.0,2.0,White,1.0,29500.0,58,4.3
Nunix 138L Double Door Fridge Energy Efficient BCD-138,Nunix,,,,,29993.0,5,3.4
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,31599.0,110,4.6
Ramtons RF/319- 430 LITERS SIDE BY SIDE LED NO FROST FRIDGE (1YR WRTY),Ramtons RF,,,,1.0,101000.0,2,3.5
Ramtons RF/265 - 527L Side By Side LED Fridge - Silver (1YR WRTY),Ramtons RF,,,Silver,1.0,149300.0,4,
Hisense REF094DR - 94L Single Door Fridge,Hisense REF,,,,,21699.0,2,
Hisense BLACK 176 Liters FRIDGE Single Door,Hisense BLACK,,,Black,,33800.0,1,
Volsmart 108L Double Door Fridge With A Larger Freezer Capacity (1YR WRTY),Volsmart,,,,1.0,24300.0,4,3.3
VOLSMART  138L Double Door Refrigerator Top Mounted Freezer Reliable Quality 1yr Warranty,VOLSMART,,,,,27995.0,1,
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)",Ramtons RF,,,Silver,1.0,15999.0,66,4.1
Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY),Hisense,,,,2.0,16799.0,87,4.4
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)",Ramtons RF,128.0,2.0,Silver,1.0,28099.0,69,4.2
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY),Roch RFR,90.0,,Silver,,16299.0,477,4.2
Nunix 138L Double Door Fridge Energy Efficient (1YR WRTY),Nunix,,,,1.0,27500.0,149,3.9
Smart Pro SFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1YR WRTY),Smart Pro SFR,90.0,,Silver,1.0,15799.0,22,4.4
Ramtons RF/217 - 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),Ramtons RF,213.0,2.0,Silver,1.0,33176.0,22,4.7
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L - Inox (1Y WRTY) (1YR WRTY),Roch RFR,,,,1.0,36000.0,106,4.2
"Nunix Fridge Double Door, 210L Energy Efficient BCD-210",Nunix Fridge Double Door,,,,,36850.0,4,
"VON VRT-138DRHX Double Door FRIDGE 136L,INOX, (1YR WRTY)",VON VRT,,,,1.0,29009.0,68,
Nunix 92L Single Door Fridge Energy Efficient BC-92 (1YR WRTY),Nunix,,,,1.0,17850.0,88,4.3
"Vitron VDR128DS, 125 Liters Double Door Fridge - Silver Hairline (1YR WRTY)",Vitron VDR,,,Silver,1.0,26670.0,108,4.5
Ramtons RF/222 - 2 Door Fridge - 88 L - Silver Flower (1YR WRTY),Ramtons RF,,2.0,Silver,1.0,21999.0,87,
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,25799.0,20,4.2
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)",Roch RFR,,,Silver,1.0,33099.0,88,4.3
Ramtons RF/130- 213L 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),Ramtons RF,,2.0,,1.0,48100.0,26,4.5
Hisense 206L Double Door Refrigerator RD-27DR4SA  (2YRs WRTY),Hisense,,,,2.0,41050.0,47,4.4
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)",Smart Pro SFR,,,Silver,1.0,31999.0,6,4.5
"Roch RFR-190S-I Single Door Refrigerator, 150L - Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,28600.0,11,4.1
"Roch RFR-160DT-B Double Door Fridge, 126L ? Silver (1YR WRTY)",Roch RFR,,,Silver,1.0,27699.0,27,4.6
Haier HRD-1954CSS Single Door Direct Cool Fridge 190 Litres - Silver,Haier HRD,190.0,,Silver,,36895.0,16,4.6
Hisense REF094DR - 94 Liters Fridge - Silver (2YRs WRTY),Hisense REF,,,Silver,2.0,19500.0,185,4.3
Hisense 154L Double Door Refrigerator RD-20DR4SA  (2YRs WRTY),Hisense,,,,2.0,38999.0,18,4.2
"Smart Pro SFR 175-DT-I Double Door Refrigerator, 138L Silver (1YR WRTY)",Smart Pro SFR,,,Silver,1.0,27299.0,1,
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Litres - Silver (1YR WRTY),Ramtons RF,213.0,2.0,Silver,1.0,46900.0,41,4.8
Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver  (2YRs WRTY),Hisense RS,,,Silver,2.0,21239.0,50,4.6
Roch RFR-150DT-I Top-Mounted Defrost Fridge - 118L ? Inox (1YR WRTY),Roch RFR,,,,1.0,27699.0,39,4.1
Ramtons RF/174 - 2 Door Direct Cool Fridge - 128 Litres - White (1YR WRTY),Ramtons RF,128.0,2.0,White,1.0,29500.0,58,4.3
Nunix 138L Double Door Fridge Energy Efficient BCD-138,Nunix,,,,,29993.0,5,3.4
