,Name,Price(kshs),Reviews,Doors,Capacity(ltrs),Brand
0,Volsmart 138L Fridge Freezer VL-BCD138 Energy Saving Double Doors Refrigerator,25299,155,2,138.0,Volsmart
1,Hisense 94 Liters fridge single door Energy Saving REFO94DR Refrigerator,19299,483,1,94.0,Hisense
2,Volsmart 108L Double Doors VL-BCD108 Fridge Freezer Energy Saving Refrigerator with Lock and Keys,20299,94,2,108.0,Volsmart
3,New Volsmart 138L Fridge Freezer VL-BCD138 Energy Saving Double Doors Refrigerator 138L fridge double door Direct Cool fridge Refrigerator fridges and freezers fridge138ltrs,25555,28,2,138.0,Volsmart
4,ROCH Single Door Mini Refrigerator 90Ltrs Fridge,19349,105,1,90.0,Roch
5,Volsmart 118L Fridge Freezer VL-BCD118 Energy Saving Double Doors Refrigerator,23199,33,2,118.0,Volsmart
6,SmartPro SFR-120S-I Mini Fridge 90L Refrigerator Single Door 90Litres High Quality Fridge,17799,8,1,90.0,Smartpro
7,ECOMAX 90L Single Door Refrigerator Home Improvement Energy Saving Fridge with Lock and Keys BCD-90,16999,32,1,90.0,Ecomax
8,Nunix 138L BCD-138 fridge double door Direct Cool fridge Refrigerator fridges and freezers,28899,104,2,138.0,Nunix
9,Hisense 176 Liters fridge single Door fridges and freezers Refrigerator,35699,17,1,176.0,Hisense
10,ECOMAX 98L Double Doors Refrigerator Home Improvement Energy Saving Fridge with Lock and Keys BCD-98,19299,17,2,98.0,Ecomax
11,New Volsmart 108L Double Doors VL-BCD108 Fridge Freezer Energy Saving Refrigerator with Lock and Keys 108L fridge double door Direct Cool fridge Refrigerator fridges and freezers,20999,11,2,108.0,Volsmart
12,ECOMAX 138L Double Doors Fridge and Freezer BCD-138 Energy Saving Household Applicances Refrigerator,26999,11,2,138.0,Ecomax
13,ECOMAX 118L Double Doors Fridge Freezer Refrigerator with Lock and Keys BCD-118,24499,3,2,118.0,Ecomax
14,Hisense 2 Doors Fridge 120 Litres Refrigerator REF120DR Refrigerator Fridge Double Door fridges and freezers,32299,56,2,120.0,Hisense
15,Ramtons RF257- 2 Door Direct Cool Fridge - 213 Litres double-door refrigerator Refrigerators,43999,25,2,213.0,Ramtons
16,Ramtons RF175 - 2 Door Direct Cool Fridge Direct Cool Refrigerators - 128 Liters,31999,11,2,128.0,Ramtons
17,"Ramtons RF173 fridge, 2 Door Direct Cool Fridge, 128 Liters",31999,32,2,128.0,Ramtons
18,Roch Refrigerator RFR 175DT-I Fridge 138Ltrs High Capacity Fridges  Freezers,32049,11,Not Found,138.0,Roch
19,Hisense Fridge 154 Litres REF154DR 2 YEARS WARRANTY,40899,0,2,154.0,Hisense
20,"RAMTONS 138 LITERS 2 DOOR DIRECT COOL 3 STAR FRIDGE, SILVER- RF339",36990,1,2,138.0,Ramtons
21,special offRamtons - RF214 1 Door Fridge Energy Saving - 90 Litres - White Similar products from Ramtons Transparent shelves 90 liters Refrigerators Home Improvement,18999,0,1,90.0,Ramtons
22,"MIKA Fridge, 168L, 2 Door Top Mount Freezer, Defrost Direct Cool, Dark Silver",36000,0,2,168.0,Mika
23,Ramtons -Single Door 180LT Fridge-Silver,42999,0,1,180.0,Ramtons
24,Roch RFR-150-DT-I 118L Double Door Refrigerator Top Mount Defrost 188litres Fridge,28749,31,2,118.0,Roch
25,Nunix 210L BCD-210 fridge double door Direct Cool fridge Refrigerator fridges and freezers,37999,3,2,210.0,Nunix
26,134 L FRIDGE VON Double Door Fridge 134L - Silver 1YR WRTY,34999,0,2,134.0,Von
27,Haier 190L Single Door Fridge - Silver - HRD-1954CSS,36696,5,1,190.0,Haier
28,REFRIGERATOR. Nunix 210 liters large capacity Double door fridge with handles. Maintains cold during power cuts,44550,0,2,210.0,Nunix
29,Mika 92L Mini Fridge Single Door-MRDCS92DS -SILVER.,19999,0,1,92.0,Mika
30,"Exzel Fridge, 530L, 2 Door Side By Side, No Frost Frost Free, INVERTER Compressor, Inox. 2 Year Warranty",118956,0,2,530.0,Exzel
31,"MIKA Fridge, 138L, 2 Door Top Mount Freezer, Defrost Direct Cool, Dark Silver, with Cool Pack",35500,0,2,138.0,Mika
32,Volsmart VL-BCD108 Mini Double Door Direct Cool Fridge- 108 Litres,22999,4,2,108.0,Volsmart
33,"GLD Double Door Mini-Fridge, 86L1 YEAR WARRANTY",21900,0,2,86.0,GLD
34,Nunix 138L Double Door Fridge Energy Efficient BCD-138,29194,0,2,138.0,Nunix
35,DiscountedRamtons RF174 - 128 Liters 2 Door Direct Cool Fridge - 128 Liters Refrigerators Fridge Freezer Energy Saving Double Doors Home Improvement HOT,32999,75,2,128.0,Ramtons
36,Vitron 125L Double Doors Refrigerator VDR128DS Enerygy Saving Fridge and Freezer with 2L Bottle Rack,27799,72,2,125.0,Vitron
37,SmartPro SFR-175-DT-I Fridge 138L High Capacity Fridge  Freezer 138 Litres Refrigerator,31399,2,Not Found,138.0,Smartpro
38,Volsmart 118L Fridge Freezer VL-BCD118 Energy Saving Double Doors Refrigerator 118L fridge double door Direct Cool fridge Refrigerator fridges and freezers,24299,1,2,118.0,Volsmart
39,"Ramtons 90 LITRES DOUBLE DOOR DIRECT COOL FRIDGE, SILVER- RF222 Refrigerator Fridges  Freezers Household Appliances",26999,34,2,90.0,Ramtons
40,HOTVolsmart 118L Fridge Freezer VL-BCD118 Energy Saving Double Doors Refrigerator 118L fridge double door Direct Cool fridge Refrigerator fridges and freezers,24299,0,2,118.0,Volsmart
41,Bruhm Silver 90L Fridge BFS 90MD Single Door Chest Freezer Defrost Refrigerator Recessed HandleBFS 90MD Silver,19899,144,1,90.0,Bruhm
42,"Mika MRDCS92DS,92L - Single Door Mini Fridge",19999,0,1,92.0,Mika
43,SmartPro SFR-150-DT-I Double Door Refrigerator Top Mount Defrost Fridge RFR-150-DT-I,28449,0,2,,Smartpro
44,Ramtons -93 Litres Single Door Fridge,24999,3,1,93.0,Ramtons
45,"Mika Fridge- Single Door, Direct Cool, 92L1 YEAR WARRANTY",19999,0,1,92.0,Mika
46,Premier 128L double door fridge PM-128L Silver XL home fridge two doors refrigerator with 1 year warranty electronics and appliances home improvements refrigerators,30199,1,2,128.0,Premier
47,Ramtons RF215 - 1 Door Fridge 90 Litres Refrigerator Fridges  Freezers Household Appliances,25599,21,1,90.0,Ramtons
48,"GLD Double Door Mini-Fridge, 86 LITRES",21899,1,2,86.0,GLD
49,Bruhm BFS 150MD - Single Door Frost Free Refrigerator 158L - Metallic Grey fridge,31299,38,1,158.0,Bruhm
50,"Samsung RT26HAR2DSA - Double Door Fridge, 203 Litres -Metal Graphite 1 YEAR WARRANTY",86799,0,2,203.0,Samsung
51,Premier Show Case Chiller 288L Quality Showcase Fridge,54800,0,Not Found,288.0,Premier
52,Ramtons RF130- 213L 2 Door Direct Cool Fridge Dispenser 1YR WRTY,48700,0,2,213.0,Ramtons
53,Mika 92L Mini Fridge Single Door1 YEAR WARRANTY,19999,0,1,92.0,Mika
54,VOLSMART VL-BCD108 Mini Double 108LITRES Door Direct Cool Fridge1 YEAR WARRANTY,22999,0,2,108.0,Volsmart
55,VOLSMART VL-BCD108 Mini Double Door Direct Cool Fridge1 YEAR WARRANTY,22999,0,2,,Volsmart
56,"MIKA Fridge, 247L, 2 Door Top Mount Freezer, No Frost Frost Free, Inox Line Brush",59899,0,2,247.0,Mika
57,Nunix 138L BCD-138 fridge double door Direct Cool fridge Refrigerator fridges and freezers,31500,0,2,138.0,Nunix
58,Hisense Fridge 120Litres Two Door REF120DR2YEARS WARRANTY,39999,0,2,120.0,Hisense
59,Haier 333L Double Door No-Frost Fridge Refrigerator,97200,0,2,333.0,Haier
60,"Portable Small Refrigerator Mini Portable Fridge Refrigerator is different from ordinary household refrigerators, it is not a mechanical compression",3990,0,Not Found,,Unknown
61,Ailyons Mini Double Door Direct Cool Fridge- 115 Litres,26000,0,2,115.0,Ailyons
62,"MIKA, MRDCS150LSD, 150L, Single Door, Defrost Direct Cool Fridge",42995,0,1,150.0,Mika
63,Nunix 92L Single Door Fridge Energy Efficient,22950,0,1,92.0,Nunix
64,"Mika Fridge, Double Door- 138 Litres",40000,0,2,138.0,Mika
65,"MIKA, MRDCD86DS, 86L, Double Door Top Mount Freezer, Defrost Direct Cool Fridge",26999,0,2,86.0,Mika
66,Mika MRDCS92DS 92 LITRES -Single Door Mini Fridge,19999,0,1,92.0,Mika
67,Hisense REF091DR 91 Litres Double Door Mini-Fridge,25999,0,2,91.0,Hisense
68,Hisense REF094DR 94 liters Fridge,21499,0,Not Found,94.0,Hisense
69,Nunix 138L BCD-138 fridge double door Direct Cool fridge Refrigerator fridges and freezers,29999,0,2,138.0,Nunix
70,Ramtons RF177- 2 Door Direct Cool Fridge Refrigerators Direct Cool technology CFC free - 128 Litres,37999,6,2,128.0,Ramtons
71,Nunix 210L BCD-210 fridge double door Direct Cool fridge Refrigerator fridges and freezers,48000,0,2,210.0,Nunix
72,Von Tropicalised compressor VARM-11DHS Mini Fridge Freezer 90L - Silver 90L Single Door Lock and key Recessed handle,26199,5,1,90.0,Von
73,Hisense 154L fridge double door fridges and Freezers Refrigerator with LED Light Fridge REF154DR,40999,3,2,154.0,Hisense
74,Nunix 92L Single Door Fridge Energy Efficient BC-92 1YR WRTY,35000,0,1,92.0,Nunix
75,Nunix 138L BCD-138 fridge double door Direct Cool fridge Refrigerator fridges and freezers,40000,0,2,138.0,Nunix
76,Hisense Fridge REF205DR 205 Liters Double Doors Refrigerator fridges and freezers,45599,4,2,205.0,Hisense
77,Ramtons RF244 -2 Door Direct Cool Fridge- 213 Litres - Mar Silver 1 YEAR WARRANTY,44899,0,2,213.0,Ramtons
78,Hisense REF094DR - 94L Single Door Fridge-SILVER2 YEARS WARRANTY,24790,0,1,94.0,Hisense
79,"Ramtons RF173, 2 Door Direct Cool Fridge, CFC Free 128 Litres - Silver1 YEAR WARRANTY",42899,0,2,128.0,Ramtons
80,Hisense 94L Single Door Fridge  REF094DR2 YEARS WARRANTY,24999,0,1,94.0,Hisense
81,"Ramtons RF173, 2 Door Direct Cool Fridge, 128 Litres - Silver1 YEAR WARRANTY",45890,0,2,128.0,Ramtons
82,Hisense Fridge 628 Liters Side By Side With Water Dispenser and Ice Maker REF628DR fridges and freezers double door,205999,0,2,628.0,Hisense
83,"MIKA MRDCD168DS 168L, 2 Door Top Mount Freezer, Defrost Direct Cool Fridge, Dark Silver",36999,0,2,168.0,Mika
84,"MIKA Fridge, 168L, 2 Door Top Mount Freezer, Defrost Direct Cool, Dark Silver",36999,0,2,168.0,Mika
85,Hisense REF094DR - 94 Litres Fridge - Silver 2YRS WARRANTY,24999,0,Not Found,94.0,Hisense
86,Hisense 94L Mini- Fridge - Silver 2YRS WARRANTY,24999,0,Not Found,94.0,Hisense
88,"Hisense REF094DR - 94L Single Door Fridge,SILVER2 YEARS WARRANTY",21899,0,1,94.0,Hisense
89,"VON VRT-181DRAX Double Door Fridge 181 Liters with Large freezer compartment, Toughened glass shelves, Ice tray  egg tray provided - Inox",39460,0,2,181.0,Von
90,Hisense REF094DR - 94L Single Door Fridge,24999,0,1,94.0,Hisense
91,"MIKA Fridge, 138L, 2 Door Top Mount Freezer, Defrost Direct Cool, Dark Silver, with Cool Pack",35700,0,2,138.0,Mika
92,Ramtons RF244 -2 Door Direct Cool Fridge- 213 Litres - Mar Silver.,47999,1,2,213.0,Ramtons
93,"Share this product Official Store deal Ramtons RF173, 2 Door Direct Cool Fridge, 128 Litres - Silver 1YR WRTY",37300,0,2,128.0,Ramtons
94,"MIKA Fridge, 247L, 2 Door Top Mount Freezer, No Frost Frost Free, Inox Line Brush",75900,0,2,247.0,Mika
95,"MIKA Fridge, 197L, 2 Door Top Mount Freezer, No Frost Frost Free, Inox Line Brush",66500,0,2,197.0,Mika
98,"Hisense 94L Single Door Fridge,SILVER2 YEARS WARRANTY",21999,0,1,94.0,Hisense
99,"Mika Fridge, 202L, 2 Door Top Mount Freezer, No Frost Frost Free, Dark Silver",59999,0,2,202.0,Mika
100,"Mika Fridge, 202L, 2 Door Top Mount Freezer, No Frost Frost Free, Dark Silver",62000,0,2,202.0,Mika
101,VON VART-19DHS Double Door Fridge 136L - Silver,39500,0,2,136.0,Von
102,"MIKA Fridge, 247L, 2 Door Top Mount Freezer, No Frost Frost Free, Inox Line Brush",69999,0,2,247.0,Mika
103,Premier 128 Litres Double Door Fridge - Silver 1 YR WRTY,29500,0,2,128.0,Premier
104,"MIKA Fridge, 168L, 2 Door Top Mount Freezer, Defrost Direct Cool, Dark Silver",37000,0,2,168.0,Mika
105,"FRESH FINDS. REFRIGERATOR. Ramtons 213 litres double double refrigerator with handle, Direct Cool technology, Double door fridge, 130W rating, Brushed steel finish",49950,0,2,213.0,Ramtons
106,"Ramtons, 2 Door Direct Cool Fridge, 128 Litres - Silver 1YR WRTY",37000,0,2,128.0,Ramtons
107,"MIKA Fridge, 247L, 2 Door Top Mount Freezer, No Frost Frost Free, Inox Line Brush",56500,0,2,247.0,Mika
108,"Portable Small Refrigerator Mini Portable Fridge Refrigerator is different from ordinary household refrigerators, it is not a mechanical compression",4600,0,Not Found,,Unknown
109,Ramtons RF249-213L 2Door Direct Cool Blue Fridge,47999,0,Not Found,213.0,Ramtons
110,"Ramtons, 2 Door Direct Cool Fridge, 128 Litres - Silver 1YR WRTY",38000,0,2,128.0,Ramtons
111,"MIKA Fridge, 168L, 2 Door Top Mount Freezer, Defrost Direct Cool, Dark Silver",38999,0,2,168.0,Mika
112,"MIKA Fridge, 168L, 2 Door Top Mount Freezer, Defrost Direct Cool, Dark Silver",36995,0,2,168.0,Mika
113,Hisense REF094DR - 94L Single Door Fridge2 YEARS WARRANTY,24899,0,1,94.0,Hisense
114,"Mika Fridge, 138L, 2 Door Top Mount Freezer, Defrost Direct Cool, Dark Silver",40000,0,2,138.0,Mika
115,"Mika Fridge, 138L, 2 Door Top Mount Freezer, Defrost Direct Cool, Dark Silver",39999,0,2,138.0,Mika
116,"AILYONS Double Door RefrigeratorFridge Top Mounted Freezer, 168L",35000,0,2,168.0,Ailyons
118,BCD-138 138 Litres Double Door Nunix Fridge Energy Efficient,32000,0,2,138.0,Nunix
119,"REFRIGERATOR. Mika 202L No Frost Double Door Top Mount Freezer Fridge. Twist Ice tray provided. Toughened Glass Shelves  For Durability, Energy Saving, Large vegetable box",53000,0,2,202.0,Mika
120,"Experience convenience and efficiency with the 181 litres No Frost Von Fridge TMF VRT - 182NRAK ,dark inbox refrigerator",58888,0,Not Found,181.0,Von
121,Volsmart 108L Double Door Fridge With A Larger Freezer Capacity,24599,0,2,108.0,Volsmart
122,VOLSMART 138 liters fridge double door,34999,0,2,138.0,Volsmart
123,Premier 128 Litres Double Door Fridge - Silver 1 YR WRTY,28700,0,2,128.0,Premier
124,Mika 138 liters large capacity Double door fridge Top mount freezer Defrost,36995,0,2,138.0,Mika
125,Haier 190L Single Glass Door Fridge - Silver - HRD-1954PMG,56795,0,1,190.0,Haier
126,Ramtons RF319- 430 LITERS SIDE BY SIDE LED NO FROST FRIDGE,104900,0,Not Found,430.0,Ramtons
127,"RAMTONS-RF317-243 LITRES DOUBLE DOOR NO FROST FRIDGE, SILVER",71999,0,2,243.0,Ramtons
128,Nunix 210 LITRES Double Door Fridge With Handles - Cool Pack Maintains Cold During Power Cuts,44550,0,2,210.0,Nunix
129,"Mika Fridge, 202L, 2 Door Top Mount Freezer, No Frost Frost Free, Dark Silver",52999,0,2,202.0,Mika
130,"Fridge, Double Door , 170L - Silver, SFR-210-DT-I 1YR WRTY",39999,0,2,170.0,Unknown
131,"VON VRT-181DRAX Double Door Fridge 181 Liters with Large freezer compartment, Toughened glass shelves, Ice tray  egg tray provided - Inox",42000,0,2,181.0,Von
132,"Exzel Fridge, 430L, 2 Door Side By Side, No Frost Frost Free, INVERTER Compressor, Black Inox 2 Year Warranty",94995,0,2,430.0,Exzel
133,Hisense 176 Liters fridge single door with Water Dispenser fridges and freezers Refrigerator,39999,0,1,176.0,Hisense
134,"Smart Pro Fridge, Double Door , 348L - Silver,SFR-435-DT-I 1YR WRTY",84999,0,2,348.0,Smartpro
135,"Smart Pro Fridge, Double Door , 255L - Silver,SFR-325-DT-I 1YR WRTY",70999,0,2,255.0,Smartpro
136,Volsmart 108L Double Door Fridge With A Larger Freezer Capacity - The fridge comes with an extra larger freezer capacity that helps you store more froozen foods. The sleek design and well articulated,26055,0,2,108.0,Volsmart
137,Mika MRDCS92DS 92 LITRES -Single Door Mini Fridge,22000,0,1,92.0,Mika
139,91 L FRIDGE Hisense Fridge91 Liters Double Door REF091DR,25999,0,2,91.0,Hisense
140,AFFORDABLE SHOPPING Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver Roch fridge has a 90-liter storage capacity and impressive cooling performance to extend the freshness of your per,25200,0,1,90.0,Roch
141,Nunix 210L BCD-210 fridge double door Direct Cool fridge Refrigerator fridges and freezers,45900,0,2,210.0,Nunix
142,Von Hotpoint 134L Double Door Fridge,35000,0,2,134.0,Von
143,"Mika 138L, MRDCD138DS Double Door Fridge",38400,0,2,138.0,Mika
144,Ramtons 517 LITERS DOUBLE DOOR LED NO FROST FRIDGE- RF332,119999,0,2,517.0,Ramtons
145,VOLSMART 108L Double Door Fridge With A Larger Freezer Capacity,24399,0,2,108.0,Volsmart
146,VOLSMART 118L Fridge Freezer Energy Saving Double Doors Refrigerator VL-BCD118,29430,0,2,118.0,Volsmart
147,"VON VRT-181DRAX Double Door Fridge 181 Liters with Large freezer compartment, Toughened glass shelves, Ice tray  egg tray provided - Inox",39995,0,2,181.0,Von
148,BCD-138 138 Litres Double Door Fridge Energy Efficient,30000,0,2,138.0,Unknown
149,Haier 333L Double Door No-Frost Fridge HRF-355BS,97200,0,2,333.0,Haier
150,"MIKA, MRDCD138DS, 138L, Double Door Top Mount Freezer, Defrost Direct Cool Fridge",37999,0,2,138.0,Mika
151,NUNIX ModelBC-92 Direct Cool Fridge  92L,21000,0,Not Found,92.0,Nunix
152,Volsmart 108L Double Door Fridge With A Larger Freezer Capacity,24000,0,2,108.0,Volsmart
153,Ramtons RF310-463L No-Frost 2 Door Fridge,125999,0,2,463.0,Ramtons
154,"MIKA 168 L Fridge, 168L, 2 Door Top Mount Freezer, Defrost Direct Cool, Dark Silver",36800,0,2,168.0,Mika
155,"RAMTONS RF217 213 LITERS DOUBLE DOOR DIRECT COOL REFRIGERATOR - Direct Cool technology, Double door fridge, 130W rating, Brushed steel finish ,",49950,0,2,213.0,Ramtons
156,"Mika MRDCS92DS,92L - Single Door Mini Fridge",24500,0,1,92.0,Mika
158,"RAMTONS RF217 213 LITERS 2 DOOR DIRECT COOL FRIDGE, SILVER",46999,0,2,213.0,Ramtons
159,Mika Single Door Mini Fridge - 92 Litres,22000,0,1,92.0,Mika
160,RAMTONS 527 LITERS SIDE BY SIDE DOOR LED NO FROST FRIDGE- RF265,149000,0,Not Found,527.0,Ramtons
161,VOLSMART 108L Double Door Fridge With A Larger Freezer Capacity,24400,0,2,108.0,Volsmart
162,Ramtons RF130- 213L 2 Door Direct Cool Fridge Dispenser,51300,0,2,213.0,Ramtons
163,"Exzel Fridge 138l Direct Cool ERD-165SL Direct cool, Large Freezer, CFC Free, Dark Silver 2 Year Warranty",31995,0,2,138.0,Exzel
164,Ramtons RF130- 213L 2 Door Direct Cool Fridge  Dispenser,51300,0,2,213.0,Ramtons
165,"MIKA, 92L, Single Door, Defrost Direct Cool Fridge",19995,0,1,92.0,Mika
166,Ramtons RF244 -2 Door Direct Cool Fridge- 213 Litres - Mar Silver .,44999,0,2,213.0,Ramtons
167,Hisense REF091DR 91 Litres Double Door Mini-Fridge,24999,0,2,91.0,Hisense
168,VON 138Litres Double door Fridge,38000,0,2,138.0,Von
169,"Ramtons RF173, 2 Door Direct Cool Fridge, 128 Litres",37800,0,2,128.0,Ramtons
170,"Ramtons RF173, 2 Door Direct Cool Fridge, 128 Litres - Silver",37800,0,2,128.0,Ramtons
171,"MIKA, MRDCD211XLB MRDCD105XLB, 211L, 2 Door Top Mount Freezer, Defrost Direct Cool Fridge",49995,0,2,211.0,Mika
172,Hisense Fridge 454 Liters Non frost Four Door With Water Dispenser REF454DR,149999,0,4,454.0,Hisense
173,"MIKA, MRDCD168DS MRDCD95LSL, 168L, Double Door Top Mount Freezer, Defrost Direct Cool Fridge",42999,0,2,95.0,Mika
174,SmartPro Showcase Fridge 209L Model SVS-275,56700,0,Not Found,209.0,Smartpro
175,Hisense 91L Beverage Chiller Showcase Fridge,34999,0,Not Found,91.0,Hisense
176,Volsmart 108 Mini Double Door Direct Cool Fridge- 108LITRES 1YEAR WARRANTY,22999,0,2,108.0,Volsmart
177,LG Freezer Fridge 287L smart inverter with 1 year warranty double door fridge Top Multi Air Flow Humidity Controller Moist Balance non frost silver huge capacity energy saving fridge,96699,0,1,287.0,LG
178,"Exzel Fridge 515L No Frost ERFF-515SL, Inverter Compressor with 10 Year Warranty, Double Door, Cool pack power cut resistant, Energy saving with Inverter, 2 Year Warranty.",101978,0,2,515.0,Exzel
180,"LG GC-X257CQES Side by Side Fridge, 635 L - InstaView, UVnano Dispenser, HygieneFresh",389990,0,Not Found,635.0,LG
181,Volsmart 108L Double Door Fridge With A Larger Freezer Capacity,26325,0,2,108.0,Volsmart
182,"Ramtons RF243- 213 Lts 2 Door Direct Cool Fridge, Champagne",46999,1,2,213.0,Ramtons
183,"Exzel Fridge 348L No Frost ERFF352DS, Energy saving, Twist ice tray, Double Door, Egg  Ice tray provided, 2 years on Fridge, 5 years on compressor",79341,0,2,348.0,Exzel
184,Ecomax 138L Double Door Fridge With Handles,32400,0,2,138.0,Ecomax
185,"EXZEL 275 LITRES SHOWCASE FRIDGE EC-275DF, Ultra Durable Compressor, 4 Sturdy Shelves, Wheels for easy movement, 2 Year Warranty.",62929,0,4,275.0,Exzel
186,"Exzel 345 Litres Showcase Fridge EC-345DF, Ultra Durable Compressor, 4 Sturdy Shelves, Wheels for easy movement, Two Year Warranty.",72568,0,4,345.0,Exzel
187,"LG GC-FB507PQAM Side by Side Fridge, 519 L - Multi Air Flow, Touch LED Display, Tempered Glass Shelve",153990,0,Not Found,519.0,LG
188,Syinix 138 Litres Double Door Fridge SXN138L-DFRSyinix 138 Litres Double Door Fridge SXN138L-DFR,40600,0,2,138.0,Syinix
189,"RAMTONS 213 LITERS 2 DOOR DIRECT COOL FRIDGE  DISPENSER, SILVER- RF130",49699,0,2,213.0,Ramtons
190,Hisense 92L Single Door Direct Cooling Fridge RS-12DR4SA2 YEARS WARRANTY,25999,2,1,92.0,Hisense
191,Hisense REF120DR 120L Double Door Fridge,36999,0,2,120.0,Hisense
192,"Mika Fridge- Single Door, Direct Cool, 92LITRES1YEAR WARRANTY",19999,0,1,92.0,Mika
193,"Nunix 138L Double Door Fridge Energy Efficient BCD-138. Toughened Glass Shelves  For Durability,",34425,0,2,138.0,Nunix
194,"MIKA Fridge, 92L, Direct Cool, Single Door1 YEAR WARRANTY",19999,0,1,92.0,Mika
195,Mika 211 Litres Double Door Fridge,48000,0,2,211.0,Mika
196,Haier 357L Double Door No-Frost Fridge HRF-385BS,95695,0,2,357.0,Haier
197,Hisense REF120DR 120L Double Door Fridge,35999,0,2,120.0,Hisense
198,Von Direct cool Thick thermal insulation VART-22DHS Double Door Fridge 134L Tropicalised compressor Interior lighting,44690,3,2,134.0,Von
199,Hisense Fridge 176 Liters With Dispenser REF176DR Single Door2 YEARS WARRANTY,39999,1,1,176.0,Hisense
200,GLD 86L Double Door Fridge1 YEAR WARRANTY,21999,0,2,86.0,GLD
201,NEW ARRIVAL  SOLSTAR RF616HSBSSLBSS 442L Side By Side Fridge,101995,0,Not Found,442.0,Solstar
202,Nunix 138L Double Door Fridge,31499,1,2,138.0,Nunix
203,"VON Mini Fridge 90L,Lock and key - White1 YEAR WARRANTY",22999,0,Not Found,90.0,Von
204,Premier 90L Refrigerator High Quality Single Door Fridge With 1 Year Warranty Silver Electronics And Appliances Home Improvement Refrigerators Energy saving,19999,0,1,90.0,Premier
205,Hisense 94 Litres Single Door Fridge,27649,0,1,94.0,Hisense
206,LG Multi Air Flow Multi Air Flow GN-B202SQBB fridge 187L top Freezer Refrigerator Smart Inverter Compressor Multi Air Flow Moist Balance Crisper,86999,0,Not Found,187.0,LG
207,"MIKA Fridge, 247L, 2 Door Top Mount Freezer, No Frost Frost Free, Inox Line Brush",69799,0,2,247.0,Mika
208,Hisense 203 L NoFrost Double Doors Fridge REF203DR R600A Gas Recessed Handle,53999,0,2,203.0,Hisense
209,"AILYONS 168 L FRIDGE Double Door RefrigeratorFridge Top Mounted Freezer, 168L",35000,0,2,168.0,Ailyons
210,LG LinearCooling fridge GV-B212PLGB 217L Top Freezer Refrigerator Smart Inverter Compressor Multi Air Flow Multi Air Flow even and faster cooling performance. with Digital sensors,87999,0,Not Found,217.0,LG
211,Volsmart 108L Double Door Fridge With A Larger Freezer Capacity,24500,0,2,108.0,Volsmart
212,"RAMTONS 204 LITERS 2 DOOR DIRECT COOL FRIDGE, SILVER - RF340",48200,0,2,204.0,Ramtons
213,Mika MRDCS92DS Single Door Mini Fridge2YEARS WARRANTY,19999,0,1,,Mika
214,Ramtons RF223-93 Litres Single Door Fridge- Silver refrigerators. 93 Liters Single Door CFC Free Direct Cool Wire Tray shelf Can holder,25461,0,1,93.0,Ramtons
215,Mika 92L Mini Fridge Single Door,20999,0,1,92.0,Mika
216,"Exzel 211L Direct Cool Fridge ERD251SL Direct Cool, Double Door, Large Freezer, Glass Dark Silver Trays, 2 Year Warranty.",39995,0,2,211.0,Exzel
217,Nunix 138L Double Door Fridge Energy Efficient1 YEAR WARRANTY,31999,0,2,138.0,Nunix
218,AFFORDABLE SHOPPING Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver Roch fridge has a 90-liter storage capacity and impressive cooling performance to extend the freshness,21500,0,1,90.0,Roch
219,Ramtons RF239-196 Litres Double Door No Frost Fridge-Silver,64999,0,2,196.0,Ramtons
